State,Year,Quarter,District,Count,Amount
uttarakhand,2020,3,almora district,36,15207.0
uttarakhand,2020,3,uttarkashi district,25,4041.0
uttarakhand,2020,3,pithoragarh district,32,12065.0
uttarakhand,2020,3,rudraprayag district,11,3569.0
uttarakhand,2020,3,pauri garhwal district,43,11588.0
uttarakhand,2020,3,tehri garhwal district,38,12747.0
uttarakhand,2021,1,bageshwar district,24,34886.0
uttarakhand,2021,1,udham singh nagar district,502,438715.0
uttarakhand,2021,1,haridwar district,620,535996.0
uttarakhand,2021,1,champawat district,27,31773.0
uttarakhand,2021,1,nainital district,206,206237.0
uttarakhand,2021,1,dehradun district,761,878779.0
uttarakhand,2021,1,chamoli district,54,46552.0
uttarakhand,2021,1,almora district,54,66726.0
uttarakhand,2021,1,uttarkashi district,41,53604.0
uttarakhand,2021,1,pithoragarh district,74,165738.0
uttarakhand,2021,1,rudraprayag district,19,20427.0
uttarakhand,2021,1,pauri garhwal district,142,143920.0
uttarakhand,2021,1,tehri garhwal district,83,95974.0
uttarakhand,2021,2,bageshwar district,17,24949.0
uttarakhand,2021,2,udham singh nagar district,518,516440.0
uttarakhand,2021,2,haridwar district,607,604868.0
uttarakhand,2021,2,champawat district,32,40517.0
uttarakhand,2021,2,nainital district,205,288133.0
uttarakhand,2021,2,dehradun district,858,1143631.0
uttarakhand,2021,2,chamoli district,67,77488.0
uttarakhand,2021,2,almora district,86,112828.0
uttarakhand,2021,2,uttarkashi district,36,45443.0
uttarakhand,2021,2,pithoragarh district,72,82135.0
uttarakhand,2021,2,rudraprayag district,21,18729.0
uttarakhand,2021,2,pauri garhwal district,136,166197.0
uttarakhand,2021,2,tehri garhwal district,87,144359.0
uttarakhand,2021,4,bageshwar district,47,80908.0
uttarakhand,2021,4,udham singh nagar district,899,1120952.0
uttarakhand,2021,4,haridwar district,1235,1394942.0
uttarakhand,2021,4,champawat district,83,179513.0
uttarakhand,2021,4,nainital district,665,915316.0
uttarakhand,2021,4,dehradun district,1681,2630885.0
uttarakhand,2021,4,chamoli district,95,170770.0
uttarakhand,2021,4,almora district,127,212761.0
uttarakhand,2021,4,uttarkashi district,61,108125.0
uttarakhand,2021,4,pithoragarh district,163,282298.0
uttarakhand,2021,4,rudraprayag district,51,79492.0
uttarakhand,2021,4,pauri garhwal district,310,469713.0
uttarakhand,2021,4,tehri garhwal district,112,203345.0
uttarakhand,2021,3,bageshwar district,25,33910.0
uttarakhand,2021,3,udham singh nagar district,638,701929.0
uttarakhand,2021,3,haridwar district,1255,1050466.0
uttarakhand,2021,3,champawat district,52,89402.0
uttarakhand,2021,3,nainital district,364,472151.0
uttarakhand,2021,3,dehradun district,1112,1329330.0
uttarakhand,2021,3,chamoli district,72,114681.0
uttarakhand,2021,3,almora district,113,158721.0
uttarakhand,2021,3,uttarkashi district,43,71719.0
uttarakhand,2021,3,pithoragarh district,85,150869.0
uttarakhand,2021,3,rudraprayag district,49,84242.0
uttarakhand,2021,3,pauri garhwal district,221,271961.0
uttarakhand,2021,3,tehri garhwal district,82,117190.0
uttarakhand,2022,1,bageshwar district,45,100552.0
uttarakhand,2022,1,udham singh nagar district,847,1300676.0
uttarakhand,2022,1,haridwar district,1029,1529648.0
uttarakhand,2022,1,champawat district,61,95012.0
uttarakhand,2022,1,nainital district,646,1016607.0
uttarakhand,2022,1,dehradun district,1774,2986200.0
uttarakhand,2022,1,chamoli district,97,227232.0
uttarakhand,2022,1,almora district,110,231528.0
uttarakhand,2022,1,uttarkashi district,75,149678.0
uttarakhand,2022,1,pithoragarh district,133,254885.0
uttarakhand,2022,1,rudraprayag district,72,156271.0
uttarakhand,2022,1,pauri garhwal district,292,513474.0
uttarakhand,2022,1,tehri garhwal district,158,263185.0
uttarakhand,2022,2,bageshwar district,47,76299.0
uttarakhand,2022,2,udham singh nagar district,785,1188827.0
uttarakhand,2022,2,haridwar district,974,1467514.0
uttarakhand,2022,2,champawat district,76,110116.0
uttarakhand,2022,2,nainital district,682,1005330.0
uttarakhand,2022,2,dehradun district,2015,3197024.0
uttarakhand,2022,2,chamoli district,141,293929.0
uttarakhand,2022,2,almora district,179,319008.0
uttarakhand,2022,2,uttarkashi district,110,198886.0
uttarakhand,2022,2,pithoragarh district,168,241163.0
uttarakhand,2022,2,rudraprayag district,73,119508.0
uttarakhand,2022,2,pauri garhwal district,327,604216.0
uttarakhand,2022,2,tehri garhwal district,196,346493.0
uttarakhand,2022,4,bageshwar district,106,203627.0
